,Country (or dependent territory),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Afghanistan,157.0,160.0,136.0,144.0,175.0,188.0,199.0,226.0,250.0,278.0,276.0,268.0,271.0,277.0,282.0,286.0,290.0,255.0,234.0,288.0,300.0,261.0,253.0,180.0,133.0,193.0,179.0,167.0,157.0,143.0,179.0,176.0,199.0,219.0,238.0,271.0,298.0,401.0,406.0,462.0,575.0,665.0,718.0,704.0,668.0,627.0
1,Albania,1053.0,1058.0,1064.0,1070.0,1076.0,1082.0,1090.0,1096.0,1105.0,903.0,799.0,810.0,818.0,811.0,784.0,783.0,788.0,762.0,770.0,904.0,654.0,488.0,468.0,533.0,599.0,770.0,1035.0,719.0,823.0,1034.0,1117.0,1257.0,1395.0,1784.0,2312.0,2612.0,2916.0,3546.0,4340.0,4111.0,4110.0,4467.0,4277.0,4433.0,4595.0,3984.0
2,Algeria,354.0,359.0,467.0,584.0,816.0,931.0,1033.0,1187.0,1448.0,1770.0,2185.0,2219.0,2192.0,2294.0,2413.0,2564.0,2707.0,2690.0,2385.0,2191.0,2383.0,1754.0,1807.0,1830.0,1493.0,1452.0,1592.0,1608.0,1585.0,1577.0,1753.0,1743.0,1776.0,2095.0,2600.0,3102.0,3468.0,3940.0,4912.0,3876.0,4473.0,5447.0,5584.0,5494.0,5496.0,4154.0
3,Andorra,4097.0,4426.0,5336.0,6761.0,7998.0,9070.0,9049.0,9808.0,11549.0,14956.0,15662.0,13124.0,12161.0,10152.0,9780.0,9838.0,13112.0,15962.0,18101.0,19191.0,23885.0,24713.0,25992.0,20889.0,20532.0,23358.0,24090.0,23289.0,24003.0,24451.0,21933.0,22088.0,24395.0,32074.0,37476.0,40084.0,42497.0,47324.0,46808.0,42824.0,39748.0,41813.0,39899.0,43237.0,46034.0,39896.0
4,Angola,604.0,623.0,623.0,743.0,813.0,584.0,545.0,579.0,628.0,677.0,871.0,787.0,759.0,765.0,782.0,936.0,854.0,959.0,1008.0,1143.0,1229.0,1411.0,1569.0,1100.0,1096.0,509.0,650.0,741.0,607.0,563.0,811.0,768.0,949.0,1067.0,1362.0,2064.0,2825.0,3402.0,4462.0,3565.0,3929.0,5054.0,5529.0,6087.0,6046.0,4740.0
5,Anguilla,610.0,711.0,833.0,935.0,1023.0,1112.0,1060.0,1179.0,1356.0,1564.0,1810.0,2103.0,2451.0,2850.0,3301.0,4040.0,5094.0,6076.0,7226.0,8552.0,9071.0,8966.0,9405.0,9940.0,10772.0,10578.0,10886.0,11904.0,13147.0,13643.0,13545.0,13624.0,13465.0,14121.0,16300.0,18130.0,22031.0,27028.0,26511.0,20817.0,19469.0,21192.0,20063.0,19910.0,21561.0,21824.0
6,Antigua and Barbuda,518.0,620.0,839.0,1153.0,1217.0,1233.0,1017.0,1151.0,1298.0,1597.0,1912.0,2181.0,2444.0,2756.0,3170.0,3723.0,4496.0,5311.0,6374.0,7081.0,7422.0,7718.0,7871.0,8250.0,8857.0,8446.0,9022.0,9423.0,9809.0,10076.0,10630.0,10079.0,10118.0,10509.0,11181.0,12293.0,13766.0,15432.0,15931.0,14110.0,13159.0,12953.0,13653.0,13290.0,14019.0,14764.0
7,Argentina,1418.0,1668.0,1530.0,1645.0,1858.0,1985.0,2061.0,2294.0,2341.0,2672.0,2912.0,2965.0,3002.0,3198.0,3325.0,3144.0,3718.0,3764.0,4325.0,2574.0,4680.0,6194.0,7367.0,7522.0,8081.0,7993.0,8330.0,8861.0,8944.0,8388.0,8315.0,7775.0,2919.0,3666.0,4285.0,5145.0,5951.0,7282.0,9094.0,8282.0,10402.0,12800.0,13887.0,14474.0,13279.0,14565.0
8,Armenia,,,,,,,,,,,,,,,,,,,,,650.0,599.0,363.0,347.0,383.0,426.0,537.0,557.0,648.0,636.0,663.0,738.0,832.0,986.0,1260.0,1733.0,2268.0,3286.0,4180.0,3109.0,3332.0,3644.0,3566.0,3717.0,3862.0,3489.0
9,Aruba,2990.0,3130.0,3274.0,3427.0,3592.0,3776.0,3981.0,4209.0,4452.0,4700.0,4941.0,5163.0,5370.0,5578.0,5817.0,6107.0,6473.0,7886.0,9765.0,11392.0,12308.0,13496.0,14047.0,14938.0,17342.0,16441.0,16586.0,17927.0,19082.0,19356.0,20620.0,20672.0,20434.0,20835.0,22567.0,23303.0,24046.0,25836.0,27089.0,24640.0,23529.0,25013.0,24754.0,25083.0,25616.0,26005.0
10,Australia,3496.0,3829.0,4435.0,6318.0,7435.0,7835.0,8346.0,8178.0,9438.0,10331.0,11770.0,13537.0,12696.0,12546.0,13258.0,11506.0,11903.0,13907.0,17325.0,18964.0,18940.0,19015.0,18591.0,17888.0,20205.0,21634.0,23777.0,23600.0,20826.0,22547.0,21398.0,20181.0,22293.0,28305.0,33925.0,37574.0,39706.0,46990.0,49395.0,46457.0,58350.0,68228.0,68890.0,65738.0,61437.0,51352.0
